"idstudent";"Comfortable";"Independence";"Confidence";"Concentration_T";"Concentration_S";"Actions";"Social_adult";"Social_peer";"Rules";"Culture";"Communications";"math";"reading";"phonetics";"numberschool";"nameschool";"typeschool";"gender";"typecity";"agemonths";"ageyears";"code_sch"
500029;"4";"4";"2";"2";"2";"4";3;4;"4";"3";"4";37,24;44,08;41,01;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"м";"город";87;7,25;"МАОУ СОШ № 2 г. Валдая"
500030;"5";"5";"4";"3";"4";"3";4;5;"4";"4";"4";54,41;55,84;37,23;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"м";"город";88;7,33333333333333;"МАОУ СОШ № 2 г. Валдая"
500031;"4";"4";"4";"4";"4";"4";4;4;"4";"4";"4";44,94;44,62;41,01;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"ж";"город";86;7,16666666666667;"МАОУ СОШ № 2 г. Валдая"
500032;"5";"5";"4";"5";"5";"5";4;5;"5";"5";"4";59,59;61,63;51,76;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"м";"город";85;7,08333333333333;"МАОУ СОШ № 2 г. Валдая"
500033;"5";"5";"5";"5";"5";"5";5;5;"5";"5";"5";65,59;61,63;78,82;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"ж";"город";91;7,58333333333333;"МАОУ СОШ № 2 г. Валдая"
500034;"4";"4";"4";"4";"3";"4";4;4;"4";"4";"3";44,94;40,73;41,01;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"ж";"город";85;7,08333333333333;"МАОУ СОШ № 2 г. Валдая"
500035;"4";"4";"4";"4";"4";"4";4;4;"4";"4";"4";52;51,88;51,76;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"м";"город";82;6,83333333333333;"МАОУ СОШ № 2 г. Валдая"
500036;"4";"4";"3";"3";"3";"3";4;4;"3";"4";"3";47,29;59,4;44,54;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"м";"город";86;7,16666666666667;"МАОУ СОШ № 2 г. Валдая"
500037;"4";"4";"4";"4";"4";"4";3;4;"4";"4";"4";49,65;49,29;37,23;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"м";"город";92;7,66666666666667;"МАОУ СОШ № 2 г. Валдая"
500038;"5";"5";"5";"5";"5";"4";5;5;"5";"5";"5";62,41;56,85;60,67;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"ж";"город";89;7,41666666666667;"МАОУ СОШ № 2 г. Валдая"
500039;"4";"4";"3";"3";"3";"4";3;4;"4";"4";"4";44,94;51,2;67,82;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"м";"город";91;7,58333333333333;"МАОУ СОШ № 2 г. Валдая"
500040;"5";"5";"5";"4";"5";"4";5;5;"5";"5";"5";56,94;57,96;44,54;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"м";"город";89;7,41666666666667;"МАОУ СОШ № 2 г. Валдая"
500041;"4";"4";"4";"3";"4";"3";4;4;"3";"4";"4";54,41;59,4;51,76;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"м";"город";90;7,5;"МАОУ СОШ № 2 г. Валдая"
500042;"5";"5";"4";"5";"5";"5";4;5;"5";"5";"4";56,94;61,63;48,07;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"ж";"город";82;6,83333333333333;"МАОУ СОШ № 2 г. Валдая"
500043;"4";"4";"4";"2";"3";"3";4;4;"3";"4";"4";52;50,54;41,01;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"м";"город";NA;NA;"МАОУ СОШ № 2 г. Валдая"
500044;"5";"5";"5";"5";"5";"5";5;5;"5";"5";"5";56,94;65,11;60,67;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"ж";"город";89;7,41666666666667;"МАОУ СОШ № 2 г. Валдая"
500045;"4";"4";"3";"4";"3";"4";4;5;"4";"4";"4";40;20,52;48,07;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"ж";"город";87;7,25;"МАОУ СОШ № 2 г. Валдая"
500046;"5";"5";"5";"3";"3";"3";4;5;"3";"4";"4";37,24;48,18;37,23;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"ж";"город";83;6,91666666666667;"МАОУ СОШ № 2 г. Валдая"
500047;"5";"5";"4";"3";"4";"4";4;4;"5";"5";"4";42,53;56,85;22,02;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"ж";"город";81;6,75;"МАОУ СОШ № 2 г. Валдая"
500048;"5";"5";"4";"4";"4";"5";4;5;"4";"5";"5";47,29;59,4;67,82;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"ж";"город";92;7,66666666666667;"МАОУ СОШ № 2 г. Валдая"
500049;"4";"4";"4";"4";"4";"3";4;5;"4";"4";"4";54,41;50,54;51,76;18;"МАОУ СОШ № 2 г. У                                                                                                                                                                                      ";"общеобразовательная школа";"м";"город";88;7,33333333333333;"МАОУ СОШ № 2 г. Валдая"
500050;"4";"4";"3";"4";"4";"4";4;4;"5";"3";"4";52;54,13;44,54;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"ж";"город";84;7;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500051;"4";"4";"2";"3";"3";"3";3;4;"4";"2";"2";47,29;57,96;37,23;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"м";"город";89;7,41666666666667;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500052;"4";"2";"3";"2";"2";"2";3;4;"3";"2";"3";40;59,4;51,76;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"ж";"город";85;7,08333333333333;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500053;"5";"4";"4";"2";"2";"2";4;4;"3";"2";"4";40;38,15;48,07;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"ж";"город";84;7;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500054;"3";"5";"3";"3";"3";"4";4;4;"4";"2";"3";40;47,15;51,76;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"ж";"город";84;7;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500055;"3";"4";"3";"3";"3";"3";3;4;"3";"2";"3";49,65;61,63;41,01;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"м";"город";92;7,66666666666667;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500056;"4";"4";"3";"3";"3";"4";3;4;"4";"2";"3";42,53;54,13;51,76;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"м";"город";92;7,66666666666667;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500057;"5";"5";"5";"3";"3";"3";3;4;"3";"2";"5";52;47,15;37,23;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"ж";"город";81;6,75;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500058;"5";"5";"5";"3";"3";"3";4;4;"3";"2";"3";47,29;38,15;41,01;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"м";"город";87;7,25;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500059;"4";"4";"3";"3";"2";"2";3;4;"3";"2";"2";62,41;53,34;33,03;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"ж";"город";87;7,25;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500060;"4";"5";"5";"4";"4";"4";3;5;"4";"4";"5";69,29;65,11;55,8;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"м";"город";85;7,08333333333333;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500061;"3";"4";"4";"4";"4";"5";2;4;"5";"2";"4";37,24;57,96;51,76;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"ж";"город";87;7,25;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500062;"4";"5";"5";"3";"2";"3";4;4;"3";"2";"4";37,24;54,13;55,8;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"м";"город";97;8,08333333333333;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500063;"3";"3";"3";"2";"3";"3";3;2;"3";"2";"3";42,53;48,72;51,76;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"м";"город";90;7,5;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500064;"4";"4";"4";"4";"4";"5";5;5;"5";"5";"4";49,65;61,63;67,82;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"ж";"город";86;7,16666666666667;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500065;"5";"5";"5";"4";"4";"4";5;5;"4";"4";"5";54,41;52,61;55,8;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"м";"город";93;7,75;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500066;"5";"5";"5";"4";"4";"4";4;5;"4";"4";"5";47,29;42,91;55,8;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"м";"город";82;6,83333333333333;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500067;"3";"4";"3";"3";"3";"3";3;4;"3";"2";"4";42,53;59,4;55,8;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"м";"город";84;7;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500068;"4";"5";"3";"4";"3";"4";4;5;"5";"4";"5";40;42,91;51,76;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"ж";"город";89;7,41666666666667;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500069;"3";"5";"3";"4";"4";"3";4;5;"4";"4";"5";62,41;51,2;55,8;17;"МАОУ СОШ №7                                                                                                                                                                                              ";"общеобразовательная школа";"ж";"город";81;6,75;"МАОУ СОШ №1 им.М.Аверина г.Валдая"
500070;"4";"4";"2";"1";"1";"1";3;3;"1";"1";"2";47,29;12,61;37,23;16;"МАОУ «Ланковская средняя общеобразовательная школа»                                                                                                                ";"общеобразовательная школа";"м";"поселок";89;7,41666666666667;"МАОУ «Панковская средняя общеобразовательная школа»"
500071;"5";"5";"4";"5";"4";"5";2;5;"5";"5";"5";56,94;53,34;51,76;16;"МАОУ «Ланковская средняя общеобразовательная школа»                                                                                                                ";"общеобразовательная школа";"ж";"поселок";91;7,58333333333333;"МАОУ «Панковская средняя общеобразовательная школа»"
500072;"5";"5";"5";"3";"3";"1";2;4;"3";"2";"4";62,41;54,97;51,76;16;"МАОУ «Ланковская средняя общеобразовательная школа»                                                                                                                ";"общеобразовательная школа";"ж";"поселок";89;7,41666666666667;"МАОУ «Панковская средняя общеобразовательная школа»"
500073;"3";"4";"3";"5";"4";"4";2;2;"5";"1";"4";56,94;54,97;60,67;16;"МАОУ «Ланковская средняя общеобразовательная школа»                                                                                                                ";"общеобразовательная школа";"м";"поселок";89;7,41666666666667;"МАОУ «Панковская средняя общеобразовательная школа»"
500074;"5";"5";"5";"4";"3";"3";3;4;"4";"4";"5";52;65,11;78,82;16;"МАОУ «Ланковская средняя общеобразовательная школа»                                                                                                                ";"общеобразовательная школа";"м";"поселок";85;7,08333333333333;"МАОУ «Панковская средняя общеобразовательная школа»"
500075;"4";"3";"4";"5";"5";"4";2;2;"5";"4";"5";65,59;57,96;60,67;16;"МАОУ «Ланковская средняя общеобразовательная школа»                                                                                                                ";"общеобразовательная школа";"ж";"поселок";81;6,75;"МАОУ «Панковская средняя общеобразовательная школа»"
500076;"1";"2";"2";"2";"2";"1";1;2;"1";"1";"2";44,94;45,65;41,01;16;"МАОУ «Ланковская средняя общеобразовательная школа»                                                                                                                ";"общеобразовательная школа";"м";"поселок";82;6,83333333333333;"МАОУ «Панковская средняя общеобразовательная школа»"
500077;"3";"4";"3";"4";"4";"3";2;2;"4";"4";"4";62,41;51,2;78,82;16;"МАОУ «Ланковская средняя общеобразовательная школа»                                                                                                                ";"общеобразовательная школа";"ж";"поселок";91;7,58333333333333;"МАОУ «Панковская средняя общеобразовательная школа»"
500078;"5";"5";"5";"3";"2";"1";1;1;"2";"3";"5";62,41;52,61;60,67;16;"МАОУ «Ланковская средняя общеобразовательная школа»                                                                                                                ";"общеобразовательная школа";"м";"поселок";90;7,5;"МАОУ «Панковская средняя общеобразовательная школа»"
500079;"5";"5";"5";"4";"4";"4";4;5;"4";"4";"5";65,59;57,96;78,82;16;"МАОУ «Ланковская средняя общеобразовательная школа»                                                                                                                ";"общеобразовательная школа";"ж";"поселок";89;7,41666666666667;"МАОУ «Панковская средняя общеобразовательная школа»"
500080;"5";"5";"5";"5";"5";"5";5;5;"5";"5";"5";52;54,97;48,07;15;"МАОУ ""Сурковская средняя общеобразовательная школа""                                                                                                                  ";"общеобразовательная школа";"ж";"поселок";90;7,5;"МАОУ ""Сырковская средняя общеобразовательная школа"""
500081;"5";"5";"5";"5";"5";"5";5;5;"5";"5";"5";62,41;55,84;60,67;15;"МАОУ ""Сурковская средняя общеобразовательная школа""                                                                                                                  ";"общеобразовательная школа";"ж";"поселок";85;7,08333333333333;"МАОУ ""Сырковская средняя общеобразовательная школа"""
500082;"5";"2";"2";"2";"2";"4";3;3;"3";"2";"2";37,24;39,02;37,23;15;"МАОУ ""Сурковская средняя общеобразовательная школа""                                                                                                                  ";"общеобразовательная школа";"ж";"поселок";82;6,83333333333333;"МАОУ ""Сырковская средняя общеобразовательная школа"""
500083;"5";"3";"4";"4";"4";"5";4;4;"5";"4";"4";62,41;47,66;55,8;15;"МАОУ ""Сурковская средняя общеобразовательная школа""                                                                                                                  ";"общеобразовательная школа";"м";"поселок";78;6,5;"МАОУ ""Сырковская средняя общеобразовательная школа"""
500084;"5";"3";"3";"3";"3";"4";4;3;"4";"3";"3";54,41;39,89;55,8;15;"МАОУ ""Сурковская средняя общеобразовательная школа""                                                                                                                  ";"общеобразовательная школа";"ж";"поселок";87;7,25;"МАОУ ""Сырковская средняя общеобразовательная школа"""
500085;"5";"3";"3";"3";"2";"3";4;3;"3";"3";"3";40;39,89;55,8;15;"МАОУ ""Сурковская средняя общеобразовательная школа""                                                                                                                  ";"общеобразовательная школа";"ж";"поселок";86;7,16666666666667;"МАОУ ""Сырковская средняя общеобразовательная школа"""
500086;"5";"3";"3";"3";"2";"5";4;3;"4";"3";"3";29,71;38,15;22,02;15;"МАОУ ""Сурковская средняя общеобразовательная школа""                                                                                                                  ";"общеобразовательная школа";"м";"поселок";82;6,83333333333333;"МАОУ ""Сырковская средняя общеобразовательная школа"""
500087;"5";"5";"5";"5";"5";"5";5;5;"5";"5";"5";37,24;20,52;28,15;15;"МАОУ ""Сурковская средняя общеобразовательная школа""                                                                                                                  ";"общеобразовательная школа";"ж";"поселок";80;6,66666666666667;"МАОУ ""Сырковская средняя общеобразовательная школа"""
500088;"5";"3";"3";"3";"3";"3";4;3;"3";"3";"3";59,59;61,63;55,8;15;"МАОУ ""Сурковская средняя общеобразовательная школа""                                                                                                                  ";"общеобразовательная школа";"ж";"поселок";90;7,5;"МАОУ ""Сырковская средняя общеобразовательная школа"""
500089;"5";"4";"4";"4";"4";"5";5;5;"4";"4";"4";52;37,28;44,54;15;"МАОУ ""Сурковская средняя общеобразовательная школа""                                                                                                                  ";"общеобразовательная школа";"м";"поселок";90;7,5;"МАОУ ""Сырковская средняя общеобразовательная школа"""
500090;"3";"4";"3";"3";"3";"3";2;5;"5";"4";"3";65,59;51,2;37,23;14;"МАОУ СОШ д. Гагово  Старорусского муниципального района                                                                                                            ";"общеобразовательная школа";"ж";"поселок";85;7,08333333333333;"МАОУ СОШ д. Нагово  Старорусского муниципального района"
500091;"4";"5";"4";"3";"3";"4";5;5;"5";"4";"4";52;39,89;33,03;14;"МАОУ СОШ д. Гагово  Старорусского муниципального района                                                                                                            ";"общеобразовательная школа";"м";"поселок";84;7;"МАОУ СОШ д. Нагово  Старорусского муниципального района"
500092;"4";"5";"4";"2";"2";"4";5;5;"5";"4";"4";44,94;44,62;33,03;14;"МАОУ СОШ д. Гагово  Старорусского муниципального района                                                                                                            ";"общеобразовательная школа";"ж";"поселок";90;7,5;"МАОУ СОШ д. Нагово  Старорусского муниципального района"
500093;"5";"5";"3";"1";"1";"2";4;3;"2";"3";"3";44,94;46,14;51,76;14;"МАОУ СОШ д. Гагово  Старорусского муниципального района                                                                                                            ";"общеобразовательная школа";"м";"поселок";84;7;"МАОУ СОШ д. Нагово  Старорусского муниципального района"
500094;"5";"4";"5";"3";"3";"1";3;2;"1";"3";"4";59,59;55,84;67,82;14;"МАОУ СОШ д. Гагово  Старорусского муниципального района                                                                                                            ";"общеобразовательная школа";"м";"поселок";86;7,16666666666667;"МАОУ СОШ д. Нагово  Старорусского муниципального района"
500095;"5";"5";"5";"3";"3";"3";4;3;"4";"4";"4";54,41;45,14;44,54;14;"МАОУ СОШ д. Гагово  Старорусского муниципального района                                                                                                            ";"общеобразовательная школа";"ж";"поселок";87;7,25;"МАОУ СОШ д. Нагово  Старорусского муниципального района"
500096;"2";"2";"4";"2";"2";"2";3;3;"3";"1";"2";40;42,91;48,07;14;"МАОУ СОШ д. Гагово  Старорусского муниципального района                                                                                                            ";"общеобразовательная школа";"м";"поселок";89;7,41666666666667;"МАОУ СОШ д. Нагово  Старорусского муниципального района"
500097;"3";"5";"3";"4";"3";"5";4;2;"5";"1";"2";44,94;52,61;51,76;14;"МАОУ СОШ д. Гагово  Старорусского муниципального района                                                                                                            ";"общеобразовательная школа";"м";"поселок";87;7,25;"МАОУ СОШ д. Нагово  Старорусского муниципального района"
500098;"4";"4";"3";"3";"3";"3";4;5;"5";"3";"1";42,53;54,97;37,23;14;"МАОУ СОШ д. Гагово  Старорусского муниципального района                                                                                                            ";"общеобразовательная школа";"м";"поселок";85;7,08333333333333;"МАОУ СОШ д. Нагово  Старорусского муниципального района"
500099;"5";"5";"4";"3";"2";"4";4;5;"5";"4";"2";56,94;37,28;44,54;14;"МАОУ СОШ д. Гагово  Старорусского муниципального района                                                                                                            ";"общеобразовательная школа";"ж";"поселок";87;7,25;"МАОУ СОШ д. Нагово  Старорусского муниципального района"
500100;"4";"5";"3";"2";"2";"3";3;4;"3";"3";"2";47,29;48,18;41,01;14;"МАОУ СОШ д. Гагово  Старорусского муниципального района                                                                                                            ";"общеобразовательная школа";"м";"поселок";84;7;"МАОУ СОШ д. Нагово  Старорусского муниципального района"
500101;"3";"4";"3";"3";"3";"4";3;5;"4";"3";"3";29,71;39,89;41,01;13;"МАОУ СОШ №  5  г. С                                                                                                                                                                                    ";"Углублённое изучение предметов";"м";"город";85;7,08333333333333;"МАОУ СОШ №  5  г. Старая Русса"
500102;"4";"4";"4";"4";"4";"5";5;5;"5";"3";"4";29,71;47,15;44,54;13;"МАОУ СОШ №  5  г. С                                                                                                                                                                                    ";"Углублённое изучение предметов";"ж";"город";NA;NA;"МАОУ СОШ №  5  г. Старая Русса"
500103;"3";"3";"2";"4";"4";"5";3;4;"5";"3";"3";37,24;26,68;44,54;13;"МАОУ СОШ №  5  г. С                                                                                                                                                                                    ";"Углублённое изучение предметов";"м";"город";NA;NA;"МАОУ СОШ №  5  г. Старая Русса"
500104;"4";"5";"3";"5";"5";"4";4;4;"4";"3";"3";69,29;57,96;51,76;13;"МАОУ СОШ №  5  г. С                                                                                                                                                                                    ";"Углублённое изучение предметов";"м";"город";90;7,5;"МАОУ СОШ №  5  г. Старая Русса"
500105;"3";"2";"2";"5";"5";"5";3;4;"5";"4";"5";54,41;54,13;51,76;13;"МАОУ СОШ №  5  г. С                                                                                                                                                                                    ";"Углублённое изучение предметов";"ж";"город";80;6,66666666666667;"МАОУ СОШ №  5  г. Старая Русса"
500106;"4";"5";"4";"3";"3";"2";5;4;"2";"2";"3";62,41;61,63;51,76;13;"МАОУ СОШ №  5  г. С                                                                                                                                                                                    ";"Углублённое изучение предметов";"м";"город";93;7,75;"МАОУ СОШ №  5  г. Старая Русса"
